Niche,Name,Link,Handle,Bio,"Why Follow Them"
"TRADING TOOLS","Peter Brandt","https://x.com/PeterLBrandt","@PeterLBrandt","45-yr chart wizard, Market Wizard book","Classical charting"
"TRADING TOOLS","zerohedge","https://x.com/zerohedge","@zerohedge","Macro firehose","Contrarian takes"
"TRADING TOOLS","The Chart Report","https://x.com/TheChartReport","@TheChartReport","Newsletter: no news, just charts","Clean TA"
"TRADING TOOLS","Mark Dow","https://x.com/mark_dow","@mark_dow","Ex-hedge fund macro","Behavioral macro"
"TRADING TOOLS","Steve Hanke","https://x.com/SteveHanke","@SteveHanke","Inflation guru","Money-supply alerts"
"TRADING TOOLS","ForexLive","https://x.com/ForexLive","@ForexLive","FX news → now @investinglive_","Pip-by-pip updates"
"TRADING TOOLS","Ransquawk","https://x.com/RANsquawk","@RANsquawk","Audio squawk","Ear-on macro"
"TRADING TOOLS","PiQ","https://x.com/PiQSuite","@PiQSuite","Meme + news aggregator","Sentiment scanner"
"TRADING TOOLS","IBD","https://x.com/IBDinvestors","@IBDinvestors","CAN SLIM scans","Growth stock lists"
"TRADING TOOLS","Bloomberg Markets","https://x.com/markets","@markets","Official charts","Institution-grade"
"TRADING TOOLS","LiveSquawk","https://x.com/LiveSquawk","@LiveSquawk","Audio alerts","Real-time squawk"
"TRADING TOOLS","TradingView","https://x.com/TradingView","@TradingView","Chart porn HQ","Scripts & ideas"
"FULL-STACK INDIE","Robin Wieruch","https://x.com/rwieruch","@rwieruch","React/Next.js + AI tutorials","Ship-tomorrow code"
"FULL-STACK INDIE","Kethmar Salumets","https://x.com/kethmar","@kethmar","$10k MRR case studies on YT","From code to cash"
"FULL-STACK INDIE","Matt Platts","https://x.com/mplatts","@mplatts","Elixir + Hotwire indie hacker","Phoenix live views"
"FULL-STACK INDIE","Aaron Lumsden","https://x.com/aaronlumsden","@aaronlumsden","Laravel AI agents","PHP + AI stack"
"FULL-STACK INDIE","Sergey Zavgorodniy","https://x.com/ZavgSergey","@ZavgSergey","22k LinkedIn dev","Backend scaling"
"FULL-STACK INDIE","Nuno Guerra","https://x.com/nunowar","@nunowar","Webflow + code hybrid","Designer-dev bridge"
"FULL-STACK INDIE","Work14","https://x.com/wprk14","@wprk14","PHP/TS full-stack","Speed-run MVPs"
"FULL-STACK INDIE","Ivan Đurđevac","https://x.com/Djuki","@Djuki","LicenseBridge founder","SaaS licensing"
"FULL-STACK INDIE","Nathan Wailes","https://x.com/NathanWailes","@NathanWailes","Perfect LSAT, geohot HS","Genius-level code"
"FULL-STACK INDIE","Eshat Jubayer","https://x.com/eshatjubayer","@eshatjubayer","Django/React + HTMX","Modern stack recipes"
"FULL-STACK INDIE","Luis","https://x.com/Zerquix18","@Zerquix18","Aspiring indie hacker","AI + full-stack"
"FULL-STACK INDIE","Seungju Cho","https://x.com/seungjucho","@seungjucho","Next.js solo","TypeScript MVPs"
"FULL-STACK INDIE","James Tayler","https://x.com/james_s_tayler","@james_s_tayler","Japanese-speaking dev","Global indie tips"
"FULL-STACK INDIE","Pete Hawkins","https://x.com/peteyhawkins","@peteyhawkins","Rails AI screencasts","Rapid Ruby"
"FULL-STACK INDIE","Mike Terry","https://x.com/mikeaterry","@mikeaterry","SubWire pop-ups + LAWFTY","Music + dev vibe"
